 C_Mass(GeV)   N_Mass(GeV)    tau(ns)    Init_xs(fb)     EAxEE          TAxTE         EAxEExTAxTE      total_eff     xs100(fb)     xslim(fb)         Ntr          r       MCev 
    400.000     399.843         5.000      15.341      2.1826e-01      4.4344e-02      9.6783e-03      4.7239e-03    7.247e-02     4.657e+01       2.62e+00    3.29e-01    626718 
    400.000     399.843         6.000      15.341      2.1826e-01      3.8856e-02      8.4806e-03      4.1293e-03    6.335e-02     5.328e+01       2.29e+00    2.88e-01    629298 
    400.000     399.843         7.000      15.341      2.1826e-01      3.4398e-02      7.5077e-03      3.6507e-03    5.600e-02     6.026e+01       2.02e+00    2.55e-01    629813 
    400.000     399.843         8.000      15.341      2.1826e-01      3.0904e-02      6.7450e-03      3.2749e-03    5.024e-02     6.718e+01       1.81e+00    2.28e-01    630177 
    400.000     399.843         9.000      15.341      2.1826e-01      2.8363e-02      6.1903e-03      3.0036e-03    4.608e-02     7.324e+01       1.66e+00    2.09e-01    630763 
    400.000     399.843         10.000      15.341      2.1826e-01      2.5782e-02      5.6271e-03      2.7297e-03    4.188e-02     8.059e+01       1.51e+00    1.90e-01    630971 
   500.000     499.843         0.010      5.607      2.8579e-01      0.0000e+00      0.0000e+00      0.0000e+00    0.000e+00     nan       0.00e+00    0.00e+00    0 
    500.000     499.843         0.015      5.607      2.8579e-01      2.6795e-07      7.6579e-08      3.4935e-08    1.959e-07     6.297e+06       7.07e-06    8.90e-07    5 
    500.000     499.843         0.020      5.607      2.8579e-01      3.7421e-06      1.0695e-06      4.3277e-07    2.426e-06     5.084e+05       8.76e-05    1.10e-05    40 
    500.000     499.843         0.025      5.607      2.8579e-01      1.2908e-05      3.6890e-06      1.5351e-06    8.607e-06     1.433e+05       3.11e-04    3.91e-05    160 
    500.000     499.843         0.030      5.607      2.8579e-01      4.5087e-05      1.2885e-05      5.3750e-06    3.014e-05     4.093e+04       1.09e-03    1.37e-04    444 
    500.000     499.843         0.040      5.607      2.8579e-01      2.2812e-04      6.5194e-05      2.8209e-05    1.582e-04     7.799e+03       5.71e-03    7.19e-04    1822 
    500.000     499.843         0.050      5.607      2.8579e-01      5.9520e-04      1.7010e-04      7.3842e-05    4.140e-04     2.979e+03       1.49e-02    1.88e-03    4339 
    500.000     499.843         0.060      5.607      2.8579e-01      1.2801e-03      3.6584e-04      1.5960e-04    8.949e-04     1.378e+03       3.23e-02    4.07e-03    8760 
    500.000     499.843         0.070      5.607      2.8579e-01      2.2186e-03      6.3406e-04      2.7691e-04    1.553e-03     7.945e+02       5.60e-02    7.06e-03    14388 
    500.000     499.843         0.080      5.607      2.8579e-01      3.4497e-03      9.8590e-04      4.3019e-04    2.412e-03     5.114e+02       8.71e-02    1.10e-02    21673 
    500.000     499.843         0.090      5.607      2.8579e-01      4.9773e-03      1.4225e-03      6.2070e-04    3.480e-03     3.544e+02       1.26e-01    1.58e-02    30263 
    500.000     499.843         0.100      5.607      2.8579e-01      6.6670e-03      1.9054e-03      8.3135e-04    4.661e-03     2.646e+02       1.68e-01    2.12e-02    39692 
    500.000     499.843         0.150      5.607      2.8579e-01      1.7866e-02      5.1059e-03      2.2295e-03    1.250e-02     9.868e+01       4.51e-01    5.68e-02    100009 
    500.000     499.843         0.200      5.607      2.8579e-01      3.0062e-02      8.5915e-03      3.7608e-03    2.109e-02     5.850e+01       7.61e-01    9.58e-02    165964 
    500.000     499.843         0.250      5.607      2.8579e-01      4.1896e-02      1.1974e-02      5.2499e-03    2.944e-02     4.191e+01       1.06e+00    1.34e-01    232387 
    500.000     499.843         0.300      5.607      2.8579e-01      5.2002e-02      1.4862e-02      6.5231e-03    3.657e-02     3.373e+01       1.32e+00    1.66e-01    293264 
    500.000     499.843         0.400      5.607      2.8579e-01      6.7455e-02      1.9278e-02      8.4805e-03    4.755e-02     2.594e+01       1.72e+00    2.16e-01    396176 
