 C_Mass(GeV)   N_Mass(GeV)    tau(ns)    Init_xs(fb)     EAxEE          TAxTE         EAxEExTAxTE      total_eff     xs100(fb)     xslim(fb)         Ntr          r       MCev 
    400.000     399.843         1.500      0.964      2.2575e-01      8.0140e-02      1.8092e-02      1.0041e-02    9.683e-03     2.191e+01       3.50e-01    4.40e-02    6874155 
    400.000     399.843         2.000      0.964      2.2575e-01      6.9476e-02      1.5684e-02      8.6705e-03    8.361e-03     2.537e+01       3.02e-01    3.80e-02    7072748 
    400.000     399.843         2.500      0.964      2.2575e-01      6.0863e-02      1.3740e-02      7.5741e-03    7.304e-03     2.905e+01       2.64e-01    3.32e-02    7171540 
    400.000     399.843         3.000      0.964      2.2575e-01      5.4134e-02      1.2221e-02      6.7196e-03    6.480e-03     3.274e+01       2.34e-01    2.95e-02    7228612 
    400.000     399.843         4.000      0.964      2.2575e-01      4.4106e-02      9.9568e-03      5.4568e-03    5.262e-03     4.032e+01       1.90e-01    2.39e-02    7277509 
    400.000     399.843         5.000      0.964      2.2575e-01      3.7168e-02      8.3907e-03      4.5875e-03    4.424e-03     4.796e+01       1.60e-01    2.01e-02    7297755 
    400.000     399.843         6.000      0.964      2.2575e-01      3.2061e-02      7.2378e-03      3.9508e-03    3.810e-03     5.569e+01       1.38e-01    1.73e-02    7304590 
    400.000     399.843         7.000      0.964      2.2575e-01      2.8325e-02      6.3944e-03      3.4862e-03    3.362e-03     6.311e+01       1.21e-01    1.53e-02    7309325 
    400.000     399.843         8.000      0.964      2.2575e-01      2.5258e-02      5.7021e-03      3.1064e-03    2.996e-03     7.082e+01       1.08e-01    1.36e-02    7308495 
    400.000     399.843         9.000      0.964      2.2575e-01      2.2804e-02      5.1480e-03      2.8013e-03    2.701e-03     7.853e+01       9.75e-02    1.23e-02    7306802 
    400.000     399.843         10.000     0.964      2.2575e-01      2.0789e-02      4.6932e-03      2.5524e-03    2.461e-03     8.619e+01       8.89e-02    1.12e-02    7304918 
    500.000     499.843         0.010      0.345      2.8911e-01      1.4412e-07      4.1667e-08      2.0323e-08    7.015e-09     1.083e+07       2.53e-07    3.19e-08    24 
    500.000     499.843         0.015      0.345      2.8911e-01      3.2049e-06      9.2655e-07      4.9078e-07    1.694e-07     4.483e+05       6.12e-06    7.70e-07    374 
    500.000     499.843         0.020      0.345      2.8911e-01      1.5696e-05      4.5377e-06      2.3359e-06    8.063e-07     9.418e+04       2.91e-05    3.67e-06    1866 
    500.000     499.843         0.025      0.345      2.8911e-01      6.3454e-05      1.8345e-05      9.5378e-06    3.292e-06     2.307e+04       1.19e-04    1.50e-05    6436 
    500.000     499.843         0.030      0.345      2.8911e-01      1.6390e-04      4.7385e-05      2.4457e-05    8.442e-06     8.995e+03       3.05e-04    3.84e-05    15593 
    500.000     499.843         0.040      0.345      2.8911e-01      6.3763e-04      1.8434e-04      9.4250e-05    3.253e-05     2.334e+03       1.17e-03    1.48e-04    52434 
    500.000     499.843         0.050      0.345      2.8911e-01      1.6000e-03      4.6258e-04      2.3338e-04    8.056e-05     9.427e+02       2.91e-03    3.66e-04    120925 
    500.000     499.843         0.060      0.345      2.8911e-01      3.0967e-03      8.9526e-04      4.4893e-04    1.550e-04     4.901e+02       5.59e-03    7.04e-04    219409 
    500.000     499.843         0.070      0.345      2.8911e-01      5.1626e-03      1.4925e-03      7.4602e-04    2.575e-04     2.949e+02       9.30e-03    1.17e-03    348692 
    500.000     499.843         0.080      0.345      2.8911e-01      7.6850e-03      2.2218e-03      1.1065e-03    3.819e-04     1.988e+02       1.38e-02    1.74e-03    499948 
    500.000     499.843         0.090      0.345      2.8911e-01      1.0570e-02      3.0558e-03      1.5195e-03    5.245e-04     1.448e+02       1.89e-02    2.38e-03    670854 
    500.000     499.843         0.100      0.345      2.8911e-01      1.3783e-02      3.9848e-03      1.9786e-03    6.829e-04     1.112e+02       2.47e-02    3.10e-03    855437 
    500.000     499.843         0.150      0.345      2.8911e-01      3.1665e-02      9.1545e-03      4.5311e-03    1.564e-03     4.855e+01       5.65e-02    7.11e-03    1883270 
    500.000     499.843         0.200      0.345      2.8911e-01      4.8640e-02      1.4062e-02      6.9560e-03    2.401e-03     3.163e+01       8.67e-02    1.09e-02    2902910 
    500.000     499.843         0.250      0.345      2.8911e-01      6.2697e-02      1.8126e-02      8.9690e-03    3.096e-03     2.453e+01       1.12e-01    1.41e-02    3811436 
    500.000     499.843         0.300      0.345      2.8911e-01      7.3552e-02      2.1264e-02      1.0525e-02    3.633e-03     2.090e+01       1.31e-01    1.65e-02    4594782 
    500.000     499.843         0.400      0.345      2.8911e-01      8.7799e-02      2.5383e-02      1.2563e-02    4.336e-03     1.751e+01       1.57e-01    1.97e-02    5831010 
    500.000     499.843         0.500      0.345      2.8911e-01      9.5337e-02      2.7562e-02      1.3636e-02    4.707e-03     1.613e+01       1.70e-01    2.14e-02    6739824 
    500.000     499.843         0.600      0.345      2.8911e-01      9.8702e-02      2.8535e-02      1.4105e-02    4.869e-03     1.560e+01       1.76e-01    2.21e-02    7405448 
    500.000     499.843         0.700      0.345      2.8911e-01      9.9687e-02      2.8820e-02      1.4234e-02    4.913e-03     1.546e+01       1.77e-01    2.23e-02    7909222 
    500.000     499.843         0.800      0.345      2.8911e-01      9.9163e-02      2.8669e-02      1.4144e-02    4.882e-03     1.555e+01       1.76e-01    2.22e-02    8299324 
