#                prod                mhscp              mrec000 
                 1062                  900       0.411016310144 
                 1937                 1500       0.225836386376 
                  375                  350       0.336439333525 
                 1563                 1300       0.349416823726 
                  355                  350       0.335665095213 
                  638                  550       0.381940567488 
                 1522                  600       0.294724876685 
                  555                  550        0.39901084083 
                 4113                 4000      0.0149379783491 
                 4366                  100                  0.0 
                 2998                  600      0.0218189230223 
                 3451                 3000       0.045789922009 
                 2275                 2200       0.103092385751 
                 5100                 1200     0.00728192360281 
                 2472                 2000       0.150281334762 
                 1468                 1200       0.382111891917 
                 1461                 1400       0.283673230739 
                 2525                  450      0.0132740815435 
                 5100                 2400      0.0586727235027 
                  637                  500       0.381075543314 
                 3310                 2000       0.123017466367 
                  405                  400       0.361069739749 
                 3005                 3000      0.0514868144946 
                 2045                  500      0.0785134570959 
                 1685                 1300       0.350428696998 
                  531                  450       0.359548437415 
                 2081                  550       0.103090843402 
                 1337                 1100       0.391734809202 
                 2005                 2000       0.163169180122 
                 1455                  400       0.126130936517 
                 3770                 2000       0.115134573692 
                 1258                 1100       0.391090091062 
                  947                  800       0.408346217678 
                 4310                 1400      0.0862160670454 
                 3089                 1300       0.222315869724 
                 4243                  900      0.0125125676467 
                  993                  600       0.410629890239 
                 1222                  400       0.195104182155 
                 3780                 2200      0.0789225079168 
                 1432                  250      0.0185034073311 
                 3216                 2600      0.0589574977797 
                  218                  150       0.208535622467 
                 5100                 1000     0.00154640500564 
                  605                  600       0.406918041761 
                 1508                  700       0.362978080963 
                 4409                 4000      0.0133474019813 
                 1027                  200      0.0338522346073 
                 3086                 3000      0.0493650654818 
                 2273                 1100       0.332042218013 
                 1002                  900       0.408137390481 
                 1438                  500       0.233501150848 
                  686                  550       0.391384349349 
                 1759                 1100       0.392220615904 
                 4248                  700     0.00143823606378 
                 1934                 1400       0.271063117934 
                 1600                  100    3.32668471191e-06 
                 1791                  200    0.000547064930603 
