#                prod                mhscp              mrec400 
                 1506                 1400       0.422652252302 
                 1591                 1200       0.520141228953 
                 2955                  700       0.369665494673 
                 2686                  100                  0.0 
                 1018                  700       0.465484088548 
                 4749                 4500      0.0105621491121 
                  526                  500                  0.0 
                 4297                  300                  0.0 
                  297                  250                  0.0 
                  122                  100                  0.0 
                 3667                 1400       0.415715259811 
                  864                  300                  0.0 
                  155                  150                  0.0 
                 3625                 1500       0.407478204888 
                 3685                  150                  0.0 
                 2512                 1800       0.386788205509 
                 3881                 2400       0.145156347655 
                 1505                 1500        0.42457943537 
                 1078                  450                  0.0 
                 1891                 1600       0.400345407757 
                  255                  250                  0.0 
                 1179                  350                  0.0 
                 1443                 1100        0.50832002921 
                 1489                 1000       0.529914308659 
                  709                  450                  0.0 
                 5100                 2000       0.240003374045 
                  884                  600                  0.0 
                 5100                 2200       0.187475086033 
                 1229                  300                  0.0 
                 4415                 2400       0.149031792549 
                 3770                 2000       0.246567386186 
                 1480                  550                  0.0 
                 2399                 1400       0.470081136406 
                 1833                 1800       0.386011696053 
                 3538                 3500      0.0551601837036 
                  687                  600                  0.0 
                 3469                 2400       0.142340739835 
                 4289                 1100       0.367131041837 
                 1132                  600                  0.0 
                 2750                 2600        0.12869312581 
                  405                  400                  0.0 
                 3164                 1600       0.433396318134 
                  295                  150                  0.0 
                 3506                 2600         0.1226537171 
                  536                  350                  0.0 
                 2320                 1300       0.539901677445 
                  469                  300                  0.0 
                  727                  700       0.408447629693 
                 5005                 5000      0.0048104543195 
                 5100                  600                  0.0 
                  805                  450                  0.0 
                 1254                  900       0.484104443639 
                 2749                 2200       0.189426527995 
                 2964                  350                  0.0 
                  833                  350                  0.0 
                  425                  400                  0.0 
                  555                  550                  0.0 
                 4505                 4500        0.01435962086 
                 2503                  250                  0.0 
                 2234                 2200       0.192342216625 
                 1304                  700       0.504281921197 
                 1287                  150                  0.0 
                  584                  400                  0.0 
                  367                  250                  0.0 
                 3117                  150                  0.0 
                  515                  100                  0.0 
                 1821                  900       0.552960372642 
                 4357                 2200       0.183323552168 
                 1455                  400                  0.0 
                  736                  600                  0.0 
                 1851                  150                  0.0 
                 1266                  450                  0.0 
                 3005                 3000      0.0952984748317 
                 3580                 1000       0.442350784074 
                  921                  700        0.43935806447 
                  140                  100                  0.0 
                 2317                 2000        0.27129406565 
                 1692                 1500       0.401296115078 
                 2124                 2000       0.276289517366 
                 1143                  700        0.48944328602 
                 1414                  350                  0.0 
                 2197                 1000       0.574924100659 
                 1040                  500                  0.0 
                 1029                  300                  0.0 
                 5100                  700       0.134794740233 
                 1738                  400                  0.0 
                 1937                 1500       0.416027043687 
                 1789                  600                  0.0 
                 3008                  800       0.433800046691 
                  488                  250                  0.0 
                 1376                 1200        0.49199138167 
                 2473                 2400       0.144001636993 
                 2081                  250                  0.0 
                 2205                 2200       0.195778640588 
                 1408                 1300       0.469375222901 
                  375                  350                  0.0 
                 3337                 2200       0.181780343677 
