#            mprod              mhscp              width               c300
     1.4300000e+03      1.4000000e+03      3.2000000e-17      3.1969440e-02
     1.4300000e+03      1.4000000e+03      4.6000000e-17      1.3810276e-02
     1.4300000e+03      1.4000000e+03      6.8000000e-17      3.9863849e-03
     1.4300000e+03      1.4000000e+03      1.0000000e-16      7.4901469e-04
     1.4300000e+03      1.4000000e+03      1.5000000e-16      6.9520786e-05
     1.4300000e+03      1.4000000e+03      2.2000000e-16      3.4498413e-06
     1.4300000e+03      1.4000000e+03      3.2000000e-16      7.2733558e-08
     1.4300000e+03      1.4000000e+03      4.6000000e-16      5.7216053e-10
     1.1000000e+02      1.0000000e+02      1.0000000e+06      0.0000000e+00
     1.2000000e+02      7.5000000e+01      0.0000000e+00      0.0000000e+00
     1.4300000e+03      1.4000000e+03      1.0000000e+06      0.0000000e+00
     1.4400000e+03      1.4000000e+03      1.0000000e-22      2.6439027e-01
     1.4400000e+03      1.4000000e+03      0.0000000e+00      2.6439217e-01
     1.4400000e+03      1.4000000e+03      1.0000000e-18      2.4613585e-01
     1.4400000e+03      1.4000000e+03      5.6000000e-18      1.7824267e-01
     1.4400000e+03      1.4000000e+03      1.5000000e-17      9.4606121e-02
     1.4400000e+03      1.4000000e+03      3.2000000e-17      3.2111604e-02
     1.4400000e+03      1.4000000e+03      4.6000000e-17      1.3862913e-02
     1.4400000e+03      1.4000000e+03      6.8000000e-17      3.9942726e-03
     1.4400000e+03      1.4000000e+03      1.0000000e-16      7.4785972e-04
     1.4400000e+03      1.4000000e+03      1.5000000e-16      6.9035358e-05
     1.4400000e+03      1.4000000e+03      2.2000000e-16      3.4079459e-06
     1.4400000e+03      1.4000000e+03      3.2000000e-16      7.1678488e-08
     1.4400000e+03      1.4000000e+03      4.6000000e-16      5.6320498e-10
     1.2000000e+02      7.5000000e+01      1.0000000e+06      0.0000000e+00
     1.2000000e+02      1.0000000e+02      0.0000000e+00      0.0000000e+00
     1.4400000e+03      1.4000000e+03      1.0000000e+06      0.0000000e+00
     1.4600000e+03      1.4000000e+03      1.0000000e-22      2.6196192e-01
     1.4600000e+03      1.4000000e+03      0.0000000e+00      2.6196382e-01
     1.4600000e+03      1.4000000e+03      1.0000000e-18      2.4373369e-01
     1.4600000e+03      1.4000000e+03      5.6000000e-18      1.7606355e-01
     1.4600000e+03      1.4000000e+03      1.5000000e-17      9.3031442e-02
     1.4600000e+03      1.4000000e+03      3.2000000e-17      3.1356894e-02
     1.4600000e+03      1.4000000e+03      4.6000000e-17      1.3468673e-02
     1.4600000e+03      1.4000000e+03      6.8000000e-17      3.8543420e-03
     1.4600000e+03      1.4000000e+03      1.0000000e-16      7.1631856e-04
     1.4600000e+03      1.4000000e+03      1.5000000e-16      6.5702539e-05
     1.4600000e+03      1.4000000e+03      2.2000000e-16      3.2402406e-06
     1.4600000e+03      1.4000000e+03      3.2000000e-16      6.8650868e-08
     1.4600000e+03      1.4000000e+03      4.6000000e-16      5.4533659e-10
     1.2000000e+02      1.0000000e+02      1.0000000e+06      0.0000000e+00
     1.2500000e+02      5.0000000e+01      0.0000000e+00      0.0000000e+00
     1.4600000e+03      1.4000000e+03      1.0000000e+06      0.0000000e+00
     1.4800000e+03      1.4000000e+03      1.0000000e-22      2.5929722e-01
     1.4800000e+03      1.4000000e+03      0.0000000e+00      2.5929911e-01
     1.4800000e+03      1.4000000e+03      1.0000000e-18      2.4116082e-01
     1.4800000e+03      1.4000000e+03      5.6000000e-18      1.7390620e-01
     1.4800000e+03      1.4000000e+03      2.2000000e-17      5.7880124e-02
     1.4800000e+03      1.4000000e+03      3.2000000e-17      3.0716098e-02
     1.4800000e+03      1.4000000e+03      4.6000000e-17      1.3140966e-02
     1.4800000e+03      1.4000000e+03      6.8000000e-17      3.7372102e-03
     1.4800000e+03      1.4000000e+03      1.0000000e-16      6.8806616e-04
     1.4800000e+03      1.4000000e+03      1.5000000e-16      6.2090875e-05
     1.4800000e+03      1.4000000e+03      2.2000000e-16      2.9784101e-06
     1.4800000e+03      1.4000000e+03      3.2000000e-16      6.0175117e-08
     1.4800000e+03      1.4000000e+03      4.6000000e-16      4.4892108e-10
     1.2500000e+02      5.0000000e+01      1.0000000e+06      0.0000000e+00
     1.3000000e+02      1.0000000e+02      0.0000000e+00      0.0000000e+00
     1.4800000e+03      1.4000000e+03      1.0000000e+06      0.0000000e+00
     1.5000000e+03      5.0000000e+01      0.0000000e+00      0.0000000e+00
     1.3000000e+02      1.0000000e+02      1.0000000e+06      0.0000000e+00
     1.4000000e+02      7.5000000e+01      0.0000000e+00      0.0000000e+00
     1.5000000e+03      5.0000000e+01      1.0000000e+06      0.0000000e+00
     1.5000000e+03      7.5000000e+01      0.0000000e+00      0.0000000e+00
     1.4000000e+02      7.5000000e+01      1.0000000e+06      0.0000000e+00
     1.4000000e+02      1.0000000e+02      0.0000000e+00      0.0000000e+00
     1.5000000e+03      7.5000000e+01      1.0000000e+06      0.0000000e+00
     1.5000000e+03      1.0000000e+02      0.0000000e+00      0.0000000e+00
     1.4000000e+02      1.0000000e+02      1.0000000e+06      0.0000000e+00
     1.5000000e+02      5.0000000e+01      0.0000000e+00      0.0000000e+00
     1.5000000e+03      1.0000000e+02      1.0000000e+06      0.0000000e+00
     1.5000000e+03      1.5000000e+02      0.0000000e+00      0.0000000e+00
     1.5000000e+02      5.0000000e+01      1.0000000e+06      0.0000000e+00
     1.5500000e+02      1.5000000e+02      0.0000000e+00      0.0000000e+00
     1.5000000e+03      1.5000000e+02      1.0000000e+06      0.0000000e+00
