#            mhscp              width               c000               c100               c200               c300
     8.0000000e+01      1.5000000e-15      5.7894431e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      2.2000000e-15      4.2890281e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      3.2000000e-15      4.6042966e-17      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      5.6000000e-15      4.9815144e-24      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      1.0000000e-14      1.4498420e-36      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      1.8000000e-14      4.3184234e-59      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      3.7000000e-14      3.0536998e-112      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      1.0000000e-13      3.4133121e-288      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      1.0000000e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      1.0000000e+06      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      0.0000000e+00      1.0165011e-01      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.0000000e-22      1.0164970e-01      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.0000000e-20      1.0160911e-01      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.0000000e-19      1.0124085e-01      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      5.0000000e-19      9.9620737e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.0000000e-18      9.7633096e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.8000000e-18      9.4537476e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      3.2000000e-18      8.9361295e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      5.6000000e-18      8.1156984e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.0000000e-17      6.8072574e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.5000000e-17      5.5810048e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      2.2000000e-17      4.2349566e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      3.2000000e-17      2.8669787e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      4.6000000e-17      1.6740178e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      6.8000000e-17      7.3230188e-03      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.0000000e-16      2.2871395e-03      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.5000000e-16      4.0378824e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      2.2000000e-16      4.1307533e-05      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      3.2000000e-16      2.0417966e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      4.6000000e-16      5.1710857e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      6.8000000e-16      1.3531883e-09      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.0000000e-15      5.9340513e-11      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.5000000e-15      6.8996005e-13      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      2.2000000e-15      1.6754105e-15      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      3.2000000e-15      3.8084385e-19      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      5.6000000e-15      1.0834852e-27      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.0000000e-14      4.4079741e-43      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.8000000e-14      7.9248302e-71      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      3.7000000e-14      1.6163612e-136      0.0000000e+00      0.0000000e+00      0.0000000e+00
