#          mC1_GeV            mN1_GeV          width_GeV                eff
     5.0023500e+02      5.0006200e+02      1.3164000e-15      5.1511000e-03
     5.0023500e+02      5.0006200e+02      1.0970000e-15      5.6177000e-03
     5.0023500e+02      5.0006200e+02      9.4028571e-16      5.8970000e-03
     5.0023500e+02      5.0006200e+02      8.2275000e-16      6.0487000e-03
     5.0023500e+02      5.0006200e+02      7.3133333e-16      6.1285000e-03
     5.0023500e+02      5.0006200e+02      6.5820000e-16      6.1318000e-03
     5.0023500e+02      5.0006200e+02      4.3880000e-16      5.7711000e-03
     5.0023500e+02      5.0006200e+02      3.2910000e-16      5.2087000e-03
     5.0023500e+02      5.0006200e+02      2.6328000e-16      4.6882000e-03
     5.0023500e+02      5.0006200e+02      2.1940000e-16      4.2371000e-03
     5.0023500e+02      5.0006200e+02      1.6455000e-16      3.5279000e-03
     5.0023500e+02      5.0006200e+02      1.3164000e-16      3.0126000e-03
     5.0023500e+02      5.0006200e+02      1.0970000e-16      2.6215000e-03
     5.0023500e+02      5.0006200e+02      9.4028571e-17      2.3109000e-03
     5.0023500e+02      5.0006200e+02      8.2275000e-17      2.0758000e-03
     5.0023500e+02      5.0006200e+02      7.3133333e-17      1.8829000e-03
     5.0023500e+02      5.0006200e+02      6.5820000e-17      1.7200000e-03
     5.9989000e+02      5.9971700e+02      6.5820000e-14      4.9780000e-12
     5.9989000e+02      5.9971700e+02      4.3880000e-14      5.4640000e-09
     5.9989000e+02      5.9971700e+02      3.2910000e-14      1.0726000e-07
     5.9989000e+02      5.9971700e+02      2.6328000e-14      5.0165000e-07
     5.9989000e+02      5.9971700e+02      2.1940000e-14      1.7947000e-06
     5.9989000e+02      5.9971700e+02      1.6455000e-14      8.7314000e-06
     5.9989000e+02      5.9971700e+02      1.3164000e-14      2.6773000e-05
     5.9989000e+02      5.9971700e+02      1.0970000e-14      5.8629000e-05
     5.9989000e+02      5.9971700e+02      9.4028571e-15      1.0706000e-04
     5.9989000e+02      5.9971700e+02      8.2275000e-15      1.7281000e-04
     5.9989000e+02      5.9971700e+02      7.3133333e-15      2.5503000e-04
     5.9989000e+02      5.9971700e+02      6.5820000e-15      3.5068000e-04
     5.9989000e+02      5.9971700e+02      4.3880000e-15      1.0186000e-03
     5.9989000e+02      5.9971700e+02      3.2910000e-15      1.8140000e-03
     5.9989000e+02      5.9971700e+02      2.6328000e-15      2.6159000e-03
     5.9989000e+02      5.9971700e+02      2.1940000e-15      3.3397000e-03
     5.9989000e+02      5.9971700e+02      1.6455000e-15      4.5260000e-03
     5.9989000e+02      5.9971700e+02      1.3164000e-15      5.3667000e-03
     5.9989000e+02      5.9971700e+02      1.0970000e-15      5.9504000e-03
     5.9989000e+02      5.9971700e+02      9.4028571e-16      6.3198000e-03
